,,,,
PRODUITS DE FORMULATION DE CHIMIE INORGANIQUE ,,,,
,,,,
Produits,Fournisseur,Quantité,Fonction,Lieu de stockage,Seuil
Acide azélaic,Esperis,1kg,,réserve,1
Acide citrique,Aromazone,200 g,ajusteur de pH,armoire,1
Acide hyaluronique,Aromazone,5 g,actif cosmétique,armoire,1
Acide lactique,Aromazone,100 mL,ajusteur de pH,armoire,1
Acide sébacique ,-,250 g,,réserve,1
Acide stéarique,Aromazone,500 g,agent de texture,armoire,1
ACUSOL 830 ,-,500g,,réserve,1
AEROSIL 200 ,Salfic Alcan,100 g,épaississant,réserve,1
Agar agar,Aromazone,50g,gélifiant,armoire,1
Alcool cétylique,Aromazone,500g,émulsionnant/stabilisateur d émulsion,armoire,1
Algo'zinc,,30 ml,purifiant,armoire,1
Aloé Véra,Aromazone,200 mL,nutritif,armoire,1
Aloé véra,My Cosmetik,200 ml,actif cosmétique,armoire,1
Argile blanche,Aromazone,200 g,actif cosmétique,armoire,1
Argile blanche rosé,Aromazone,1 kg,actif cosmétique,armoire,1
Argile verte,Aromazone,100g,actif cosmétique,armoire,1
Arôme amande amère,Aromatica,50 ml,arôme alimentaire,armoire,1
Arôme banane,Aromatica,50 ml,arôme alimentaire,armoire,1
Arôme cacao,Aromatica,51 ml,arôme alimentaire,armoire,1
Arôme fraise,Aromatica,50 ml,arôme alimentaire,armoire,1
Arôme noix de coco,Aromatica,25 ml,arôme alimentaire,armoire,1
Arôme pêche,Aromatica,50 ml,arôme alimentaire,armoire,1
Arôme pomme,Aromatica,20 ml,arôme alimentaire,armoire,1
Arôme Pomme,Aromatica,50 ml,arôme alimentaire,armoire,1
Arôme vanille,Aromatica,25 ml,arôme alimentaire,armoire,1
Base moussante ,Aromazone,1 L,Tensio Actif,armoire,1
Base moussante consistance,Aromazone,1 L,Tensio Actif,armoire,1
Bentane gel,Elementis,250 ml,,armoire,1
Beurre de cacao blanc,Aromazone,100 g,nourrissant,armoire,1
Beurre de karité,Aromazone,500 mL,actif cosmétique,armoire,1
Bisabolife,Empresa,1 kg,,réserve,1
Bisabolol (dragosantol),Sumrise,100 ml,,réserve,1
Bleu luminaren ,-,100g,,réserve,1
Bleu pk ferro ( Brenntag),-,250g,,réserve,1
Carbonate de calcium,Aromazone,200 g,,armoire,1
Carbone,Montanov,,,réserve,1
Carbopol 1342 (Polymère) ,-,250g,,réserve,1
Carbopol E24 (Polymère) ,-,250g,,réserve,1
Carbopol ETD (Polymère) ,-,250g,,réserve,1
Caséine ,-,500g,,réserve,1
Cire d’abeille ,-,500g,actif cosmétique,réserve,1
Cire de carnauba,-,5kg,actif cosmétique,réserve,1
Cire de carnauba ,-,500g,actif cosmétique,réserve,1
Cire émulsifiante ,,100 g,actif cosmétique,armoire,1
Cocobetaïne,Bioflore,,co-tensioactif,armoire,1
Cocosilicone,Aromazone,100 mL,emollient,armoire,1
Cosgard,Aromazone,100 mL,conservateur,armoire,1
Crème de tartre,,200 g,,armoire,1
Cristaux de menthol,My Cosmetik,40 G,,armoire,1
Decylglucoside AG 6210,Asko Nobel,500 ml,,armoire,1
Desquest ,Brenntag,3*250 ml,-,soute,1
Douceur coco,,,co-tensioactif,armoire,1
Durcal 15,-,5 kg,,soute,1
Durcal 5 1 sceau,-,5kg,,réserve,1
Emulgin,,,,réserve,1
